accuracy,loss,val_accuracy,val_loss,learning_rate
0.9149259328842163,0.2868545949459076,0.9764999747276306,0.08511696010828018,0.0010000000474974513
0.9742037057876587,0.08616466075181961,0.9821666479110718,0.06467977166175842,0.0010000000474974513
0.9817963242530823,0.06156885623931885,0.9865000247955322,0.052636053413152695,0.0010000000474974513
0.9850741028785706,0.049130551517009735,0.9871666431427002,0.04772626608610153,0.0010000000474974513
0.9868703484535217,0.04097089171409607,0.9863333106040955,0.050164464861154556,0.0010000000474974513
0.9893888831138611,0.035099148750305176,0.987666666507721,0.04492734745144844,0.0010000000474974513
0.9901666641235352,0.031013326719403267,0.9881666898727417,0.04297155886888504,0.0010000000474974513
0.9916481375694275,0.025826873257756233,0.9891666769981384,0.047656234353780746,0.0010000000474974513
0.9920926094055176,0.0232451893389225,0.9898333549499512,0.04562094062566757,0.0010000000474974513
0.9952222108840942,0.0158613920211792,0.9891666769981384,0.047714293003082275,0.0005000000237487257
